,name,main_speaker,views,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring
0,Kid President: I think we all need a pep talk,Kid President,828203,229,771,266,78,462,102,26,49,25,93,69,69,22,14,8
1,Caitlin Quattromani and Lauran Arledge: How our friendship survives our opposing politics,Caitlin Quattromani and Lauran Arledge,566101,21,45,26,72,15,15,7,40,16,12,4,5,1,1,0
2,Emily Esfahani Smith: There's more to life than being happy,Emily Esfahani Smith,1009069,39,484,109,294,677,61,124,170,8,27,29,6,9,8,3
3,Alexander Wagner: What really motivates people to be honest in business,Alexander Wagner,621431,7,50,54,11,25,51,18,4,5,3,4,4,1,1,0
4,Pierre Thiam: A forgotten ancient grain that could help Africa prosper,Pierre Thiam,527314,10,73,78,19,28,36,7,6,3,1,2,3,0,0,0
5,Augie Picado: The real reason manufacturing jobs are disappearing,Augie Picado,613915,33,15,35,157,7,62,18,38,18,9,11,4,3,2,4
6,Helen Czerski: The fascinating physics of everyday life,Helen Czerski,656791,12,29,10,3,39,91,60,26,12,8,52,19,12,3,14
7,Sethembile Msezane: Living sculptures that stand for history's truths,Sethembile Msezane,542088,3,41,43,35,15,3,5,7,14,2,6,5,1,1,3
8,Jun Wang: How digital DNA could help you make better health choices,Jun Wang,534824,7,13,68,41,31,6,3,3,12,5,31,3,4,4,1
9,Olu??fe????mi Ta??i??wo??: Why Africa must become a center of knowledge again,Olu??fe????mi Ta??i??wo??,418368,10,9,37,30,1,1,1,31,8,4,15,6,0,0,0
10,Duarte Geraldino: What we're missing in the debate about immigration,Duarte Geraldino,450430,17,24,33,27,1,24,22,8,21,3,12,14,1,2,0
11,Armando Azua-Bustos: The most Martian place on Earth,Armando Azua-Bustos,417470,6,32,38,20,7,8,6,20,4,13,2,1,0,0,0
12,Radhika Nagpal: What intelligent machines can learn from a school of fish,Radhika Nagpal,375647,10,14,32,19,30,2,5,24,1,4,3,1,1,0,0
13,Theo E.J. Wilson: A black man goes undercover in the alt-right,Theo E.J. Wilson,419309,32,3,6,63,147,39,75,37,65,107,21,5,7,7,1
14,Karoliina Korppoo: How a video game might help us build better cities,Karoliina Korppoo,391721,8,21,25,26,11,9,14,3,4,12,9,5,3,0,0
15,"Inara George: ""Family Tree""",Inara George,217851,15,8,4,6,14,38,2,30,5,4,7,2,3,0,0
16,"Silk Road Ensemble: ""Turceasca""",Silk Road Ensemble,640734,5,80,13,5,17,19,7,6,3,4,4,1,1,1,0
17,Richard Browning: How I built a jet suit,Richard Browning,1297943,21,108,69,114,38,32,4,21,76,18,17,2,3,4,0
18,"Katrina Spade: When I die, recompose me",Katrina Spade,977590,41,169,73,150,148,83,136,20,4,80,13,13,4,20,0
19,Sharon Terry: Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,1015849,14,113,150,48,28,54,7,11,56,17,1,3,0,0,0
20,"Sofi Tukker: ""Awoo""",Sofi Tukker,815611,8,1,7,4,43,46,5,5,18,4,6,7,5,6,0
21,Jim Yong Kim: Doesn't everyone deserve a chance at a good life?,Jim Yong Kim,1342356,60,341,142,136,61,87,59,2,1,20,2,17,24,39,1
22,Anab Jain: Why we need to imagine different futures,Anab Jain,1259603,31,47,122,96,63,18,29,126,43,55,7,4,1,4,0
23,David Miliband: The refugee crisis is a test of our character,David Miliband,1088768,62,106,93,179,100,41,10,25,4,11,26,6,9,2,4
24,Sin?ad Burke: Why design should include everyone,Sin?ad Burke,1069469,26,76,90,129,22,53,88,25,3,7,12,3,3,0,0
25,Cheyenne Cochrane: A celebration of natural hair,Cheyenne Cochrane,1081270,29,104,118,3,66,81,2,27,5,29,1,8,4,3,1
26,Luma Mufleh: Don't feel sorry for refugees -- believe in them,Luma Mufleh,1354522,66,145,57,130,56,62,19,40,7,3,1,0,0,0,0
27,Manu Prakash: Lifesaving scientific tools made of paper,Manu Prakash,1034009,27,94,75,114,47,108,10,14,24,13,0,0,0,0,0
28,"Rabbi Lord Jonathan Sacks: How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,1244502,48,38,8,318,41,118,115,80,67,20,7,1,2,1,3
29,Jorge Ramos: Why journalists have an obligation to challenge power,Jorge Ramos,383080,51,136,104,24,6,46,2,27,10,0,0,0,0,0,0
30,Liz Hajek: What rivers can tell us about the earth's history,Liz Hajek,1031716,12,11,21,6,4,40,6,7,1,1,1,0,0,0,0
31,Adam Alter: Why our screens make us less happy,Adam Alter,1858990,29,293,154,351,421,39,50,24,59,19,1,1,0,0,0
32,Kate Marvel: Can clouds buy us more time to solve climate change?,Kate Marvel,907844,26,20,4,51,18,7,2,8,13,7,1,1,0,0,0
33,Anil Seth: Your brain hallucinates your conscious reality,Anil Seth,2664733,135,131,72,86,284,231,48,19,11,42,9,0,0,0,0
34,Tricia Wang: The human insights missing from big data,Tricia Wang,1103163,21,96,56,57,46,15,4,23,3,2,2,5,0,0,0
35,Noah Feldman: Hamilton vs. Madison and the birth of American partisanship,Noah Feldman,868290,11,24,48,22,10,5,1,5,1,2,1,0,0,0,0
36,Susan Robinson: How I fail at being disabled,Susan Robinson,1026708,15,34,65,20,73,15,27,13,15,5,3,0,0,0,0
