,title,main_speaker,views,comments,film_date
1368,Do schools kill creativity?,Ken Robinson,47227110,4553,24/02/2006
498,Your body language may shape who you are,Amy Cuddy,43155405,2290,25/06/2012
2033,How great leaders inspire action,Simon Sinek,34309432,1930,16/09/2009
2188,The power of vulnerability,Bren? Brown,31168150,1927,05/06/2010
1818,10 things you didn't know about orgasm,Mary Roach,22270883,354,05/02/2009
927,How to speak so that people want to listen,Julian Treasure,21594632,297,09/06/2013
1569,My stroke of insight,Jill Bolte Taylor,21190883,2877,26/02/2008
1373,Why we do what we do,Tony Robbins,20685401,672,01/02/2006
1265,This is what happens when you reply to spam email,James Veitch,20475972,150,07/12/2015
568,"Looks aren't everything. Believe me, I'm a model.",Cameron Russell,19787465,846,26/10/2012
1866,The puzzle of motivation,Dan Pink,18830983,1094,23/07/2009
2511,The power of introverts,Susan Cain,17629275,1155,27/02/2012
2385,How to spot a liar,Pamela Meyer,16861578,561,12/07/2011
1260,What makes a good life? Lessons from the longest study on happiness,Robert Waldinger,16601927,527,13/11/2015
2478,The happy secret to better work,Shawn Achor,16209727,754,10/05/2011
1919,The thrilling potential of SixthSense technology,Pranav Mistry,16097077,1329,04/11/2009
1960,How I held my breath for 17 minutes,David Blaine,15601385,296,26/10/2009
730,The art of misdirection,Apollo Robbins,15283242,285,11/06/2013
1312,Inside the mind of a master procrastinator,Tim Urban,14745406,310,15/02/2016
1397,The surprising science of happiness,Dan Gilbert,14689301,970,01/02/2004
