,title,main_speaker,views,comments,film_date
0,Do schools kill creativity?,Ken Robinson,47227110,4553,24/02/2006
1346,Your body language may shape who you are,Amy Cuddy,43155405,2290,25/06/2012
677,How great leaders inspire action,Simon Sinek,34309432,1930,16/09/2009
837,The power of vulnerability,Brené Brown,31168150,1927,05/06/2010
452,10 things you didn't know about orgasm,Mary Roach,22270883,354,05/02/2009
1776,How to speak so that people want to listen,Julian Treasure,21594632,297,09/06/2013
201,My stroke of insight,Jill Bolte Taylor,21190883,2877,26/02/2008
5,Why we do what we do,Tony Robbins,20685401,672,01/02/2006
2114,This is what happens when you reply to spam email,James Veitch,20475972,150,07/12/2015
1416,"Looks aren't everything. Believe me, I'm a model.",Cameron Russell,19787465,846,26/10/2012
500,The puzzle of motivation,Dan Pink,18830983,1094,23/07/2009
1163,The power of introverts,Susan Cain,17629275,1155,27/02/2012
1036,How to spot a liar,Pamela Meyer,16861578,561,12/07/2011
2109,What makes a good life? Lessons from the longest study on happiness,Robert Waldinger,16601927,527,13/11/2015
1129,The happy secret to better work,Shawn Achor,16209727,754,10/05/2011
553,The thrilling potential of SixthSense technology,Pranav Mistry,16097077,1329,04/11/2009
596,How I held my breath for 17 minutes,David Blaine,15601385,296,26/10/2009
1579,The art of misdirection,Apollo Robbins,15283242,285,11/06/2013
2161,Inside the mind of a master procrastinator,Tim Urban,14745406,310,15/02/2016
29,The surprising science of happiness,Dan Gilbert,14689301,970,01/02/2004
